id,time,strangerhead_prop_maskon,strangerhead_prop_maskoff
7082,19,0,1
7082,20,0,1
7082,21,0,1
7082,22,0,1
7082,23,0,1
7082,24,0,1
7082,25,0,0.923076923
7082,26,0.2,0
7082,27,1,0
7082,28,0.366666667,1
7082,29,0,1
7082,30,0,1
7082,31,0,1
7082,32,0,1
7082,33,0,1
7082,34,0,0.962962963
7082,35,0,0.684210526
7082,36,0,0
7083,1,0,1
7083,2,0,0.9
7083,3,0.517241379,1
7083,4,0.366666667,1
7083,5,1,1
7083,6,0.133333333,1
7083,7,0.24137931,1
7083,8,0.5,1
7083,9,0.5,1
7083,10,0.066666667,1
7083,11,0.6,1
7083,12,0,1
7083,13,0,1
7083,14,0,0.916666667
7083,15,0,0.916666667
7083,16,0,1
7083,17,0,1
7083,18,0,1
7083,19,0,1
7083,20,0,1
7083,21,0,1
7083,22,0,1
7083,23,0,0.928571429
7083,24,0.133333333,0.88
7083,25,0.733333333,0.931034483
7083,26,0.6,0.964285714
7083,27,1,1
7083,28,1,0.857142857
7083,29,1,1
7083,30,1,0.464285714
7083,31,1,0
7083,32,1,0.3
7083,33,0.633333333,0.230769231
7083,34,1,0
7085,1,0,0.233333333
7085,2,0,0.433333333
7085,3,0.172413793,0.566666667
7085,4,0.633333333,1
7085,5,0.208333333,1
7085,6,0.416666667,1
7085,7,0.428571429,1
7085,8,0,0.333333333
7085,9,0.391304348,0
7085,10,1,0.173913043
7085,11,0.166666667,0.636363636
7085,12,0,0.296296296
7085,13,0,0.210526316
7085,14,0,0
7085,15,0,0
7085,16,0,0
7085,17,0,0.176470588
7085,18,0,0
7085,19,0,0
7085,20,0,0
7085,21,0,0
7085,22,0,0
7085,23,0,0
7085,24,0,0
7085,25,0,0
7085,26,0,0
7085,27,0,0
7085,28,0,0
7085,29,0,0
7085,30,0,NA
7085,31,0,0
7085,32,0,0
7085,33,0,0
7085,34,0,0
7085,35,0,0
7085,36,0.333333333,0.36
7085,37,0.533333333,0.125
7085,38,0.166666667,0
7085,39,0,0
7085,40,0.896551724,0
7085,41,1,0
7085,42,1,0.230769231
7085,43,1,0.333333333
7085,44,0.3,0.423076923
7085,45,0.172413793,0
7085,46,1,0
7085,47,1,0
7085,48,1,0
7085,49,1,0
7085,50,0.233333333,0
7085,51,0.2,0
7085,52,0.034482759,0
7085,53,0.206896552,0
7085,54,0,0
7085,55,0,0
7085,56,0,0
7085,57,0.733333333,0
7085,58,1,0.25
7085,59,1,0
7089,1,0,0
7089,2,0,0
7089,3,0,0
7089,4,0.166666667,0
7089,5,0,0
7089,6,0.789473684,0
7089,7,0,0.962962963
7089,8,0,1
7089,9,0,0.833333333
7089,10,0,0.259259259
7089,11,0,1
7089,12,1,0.2
7089,13,1,1
7089,14,0.75,1
7089,15,1,1
7089,16,0,0.535714286
7089,17,0,0.909090909
7089,18,NA,1
7089,19,0.631578947,0.615384615
7089,20,0.44,0.625
7089,21,0.92,0
7089,22,0.307692308,0.222222222
7089,23,0,0
7089,24,0,0
7089,25,0.764705882,0
7089,26,0.12,0
7089,27,0.074074074,0
7089,28,NA,0
7089,29,0.642857143,0
7090,1,0,0
7090,2,0,0
7090,3,0,0.966666667
7090,4,0,1
7090,5,0,0.733333333
7090,6,0,1
7090,7,0.444444444,1
7090,8,0,1
7090,9,0.3,1
7090,10,1,1
7090,11,0.045454545,1
7090,12,0,1
7090,13,0,1
7090,14,0.166666667,0.535714286
7090,15,0.1,0.4
7090,16,0,0.866666667
7090,17,0,1
7090,18,0,0.933333333
7090,19,0,0
7090,20,0.266666667,0.966666667
7090,21,0.333333333,1
7090,22,0.066666667,1
7090,23,1,1
7090,24,0.6,1
7090,25,0.285714286,0.733333333
7090,26,1,1
7090,27,1,1
7090,28,1,1
7090,29,1,1
7090,30,1,1
7090,31,0.956521739,1
7090,32,0.2,1
7090,33,1,1
7090,34,1,1
7090,35,1,0.925925926
7090,36,1,1
7090,37,1,1
7090,38,0.375,1
7090,39,0.214285714,1
7090,40,0,1
7090,41,0,1
7090,42,0,1
7090,43,0,1
7090,44,0,NA
7090,45,0,NA
7090,46,NA,NA
7090,47,NA,NA
7090,48,NA,NA
7090,49,NA,1
7090,50,NA,1
7090,51,NA,0.9
7090,52,NA,0.761904762
7090,53,NA,0.966666667
7090,54,NA,0.733333333
7090,55,NA,0.633333333
7090,56,NA,1
7090,57,NA,1
7090,58,NA,0.933333333
7090,59,NA,0
7090,60,NA,0
7090,61,NA,0
7090,62,NA,0.466666667
7090,63,NA,0
7090,64,NA,0
7091,1,0,0.133333333
7091,2,0,0.333333333
7091,3,0,0.566666667
7091,4,0,1
7091,5,0,1
7091,6,0,0.433333333
7091,7,0,0.2
7091,8,0.2,1
7091,9,1,0.333333333
7091,10,1,0.933333333
7091,11,0.518518519,0.766666667
7091,12,1,1
7091,13,0.533333333,1
7091,14,0.333333333,1
7091,15,0.433333333,1
7091,16,0.833333333,NA
7091,17,0,NA
7091,18,0.7,NA
7091,19,0.535714286,NA
7091,20,0,0
7091,21,0.966666667,NA
7091,22,0.533333333,NA
7091,23,0,NA
7091,24,0,NA
7091,25,0,NA
7091,26,0,NA
7091,27,0,NA
7091,28,0.666666667,NA
7091,29,1,0.571428571
7091,30,1,0.625
7091,31,1,NA
7091,32,0.266666667,0
7091,33,0,0.36
7091,34,0.533333333,0
7091,35,1,0
7091,36,0.033333333,0
7091,37,0.178571429,0.37037037
7091,38,1,0.133333333
7091,39,0.7,0
7093,1,0,0
7093,2,0,0
7093,3,0,0
7093,4,0,0
7093,5,0,0
7093,6,0,0
7093,7,0,0
7093,8,0,NA
7093,9,0,NA
7093,10,0,NA
7093,11,0,NA
7093,12,0,NA
7093,13,0,NA
7093,14,NA,NA
7093,15,0,NA
7093,16,0,NA
7093,17,NA,NA
7093,18,0,NA
7093,19,NA,NA
7093,20,NA,0
7093,21,0,0.555555556
7093,22,0,1
7093,23,0,1
7093,24,0,0.666666667
7093,25,0,0
7093,26,0,0.055555556
7093,27,0,NA
7093,28,0,NA
7093,29,0,NA
7093,30,0,0
7093,31,0,0
7093,32,0,0
7093,33,0,NA
